"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sites Automation for Footer","","0","0","5","0","0"
"","Sites Automation for Header","","0","0","6","0","0"
"","Blog automation","","0","1","3","0","0"
"","website setting load","","0","1","3","0","0"
"","Check Business site Home Page All Component and Button Functionality","","0","0","7","0","0"
"","Domain Update for checking","","0","0","2","0","0"
"","all configuration check","","0","0","1","0","0"
"","Sites Automation for Page","","0","0","4","0","0"
"","Operation automation","","0","0","1","0","0"
"","signin Page load","","0","0","1","0","0"
"","Sites Automation for Menu Set","","0","0","5","0","0"
